2026-04-14 11:12:51,847 | INFO | rag.ingestion.readers | PyPDFLoader extracted 553364 chars from luat_dan_su.pdf
2026-04-14 11:12:51,879 | INFO | rag.ingestion.indexing | [BUILD] data\luat_dan_su.pdf -> 652 chunks
2026-04-14 11:12:52,269 | INFO | rag.ingestion.readers | PyPDFLoader extracted 14981 chars from luat_doanh_nghiep.pdf
2026-04-14 11:12:52,285 | INFO | rag.ingestion.indexing | [BUILD] data\luat_doanh_nghiep.pdf -> 22 chunks
2026-04-14 11:13:00,900 | INFO | rag.ingestion.readers | PyPDFLoader extracted 581755 chars from luat_hinh_su.pdf
2026-04-14 11:13:00,938 | INFO | rag.ingestion.indexing | [BUILD] data\luat_hinh_su.pdf -> 939 chunks
2026-04-14 11:13:09,128 | INFO | rag.ingestion.readers | PyPDFLoader extracted 195581 chars from luat_lao_dong.pdf
2026-04-14 11:13:09,128 | INFO | rag.ingestion.indexing | [BUILD] data\luat_lao_dong.pdf -> 346 chunks
2026-04-14 11:13:31,032 | INFO | rag.ingestion.indexing | Embedding batch 100 -> 200/2758
2026-04-14 11:13:52,827 | INFO | rag.ingestion.indexing | Embedding batch 200 -> 300/2758
2026-04-14 11:14:29,911 | INFO | rag.ingestion.indexing | Embedding batch 300 -> 400/2758
2026-04-14 11:15:09,992 | INFO | rag.ingestion.indexing | Embedding batch 400 -> 500/2758
2026-04-14 11:15:45,287 | INFO | rag.ingestion.indexing | Embedding batch 500 -> 600/2758
2026-04-14 11:16:24,787 | INFO | rag.ingestion.indexing | Embedding batch 600 -> 700/2758
2026-04-14 11:17:04,260 | INFO | rag.ingestion.indexing | Embedding batch 700 -> 800/2758
2026-04-14 11:17:40,982 | INFO | rag.ingestion.indexing | Embedding batch 800 -> 900/2758
2026-04-14 11:18:12,308 | INFO | rag.ingestion.indexing | Embedding batch 900 -> 1000/2758
2026-04-14 11:18:44,599 | INFO | rag.ingestion.indexing | Embedding batch 1000 -> 1100/2758
2026-04-14 11:19:19,532 | INFO | rag.ingestion.indexing | Embedding batch 1100 -> 1200/2758
2026-04-14 11:19:51,011 | INFO | rag.ingestion.indexing | Embedding batch 1200 -> 1300/2758
2026-04-14 11:20:14,845 | INFO | rag.ingestion.indexing | Embedding batch 1300 -> 1400/2758
2026-04-14 11:20:48,298 | INFO | rag.ingestion.indexing | Embedding batch 1400 -> 1500/2758
2026-04-14 11:21:26,046 | INFO | rag.ingestion.indexing | Embedding batch 1500 -> 1600/2758
2026-04-14 11:21:53,681 | INFO | rag.ingestion.indexing | Embedding batch 1600 -> 1700/2758
2026-04-14 11:22:24,491 | INFO | rag.ingestion.indexing | Embedding batch 1700 -> 1800/2758
2026-04-14 11:22:59,517 | INFO | rag.ingestion.indexing | Embedding batch 1800 -> 1900/2758
2026-04-14 11:23:33,893 | INFO | rag.ingestion.indexing | Embedding batch 1900 -> 2000/2758
2026-04-14 11:24:13,262 | INFO | rag.ingestion.indexing | Embedding batch 2000 -> 2100/2758
2026-04-14 11:24:48,727 | INFO | rag.ingestion.indexing | Embedding batch 2100 -> 2200/2758
2026-04-14 11:25:22,236 | INFO | rag.ingestion.indexing | Embedding batch 2200 -> 2300/2758
2026-04-14 11:25:57,620 | INFO | rag.ingestion.indexing | Embedding batch 2300 -> 2400/2758
2026-04-14 11:26:30,235 | INFO | rag.ingestion.indexing | Embedding batch 2400 -> 2500/2758
2026-04-14 11:26:55,162 | INFO | rag.ingestion.indexing | Embedding batch 2500 -> 2600/2758
2026-04-14 11:27:19,936 | INFO | rag.ingestion.indexing | Embedding batch 2600 -> 2700/2758
2026-04-14 11:27:44,233 | INFO | rag.ingestion.indexing | Embedding batch 2700 -> 2758/2758
2026-04-14 11:28:03,727 | INFO | rag.ingestion.indexing | [BUILD DONE] files=17, chunks=2758, index_dir=indexes/default
2026-04-14 12:04:15,180 | INFO | rag.ingestion.indexing | Embedding batch 100 -> 200/55953
2026-04-14 12:04:56,458 | INFO | rag.ingestion.indexing | Embedding batch 200 -> 300/55953
2026-04-14 12:05:29,654 | INFO | rag.ingestion.indexing | Embedding batch 300 -> 400/55953
2026-04-14 12:06:13,259 | INFO | rag.ingestion.indexing | Embedding batch 400 -> 500/55953
2026-05-20 00:40:59,796 | INFO | rag.ingestion.indexing | Embedding batch 100 -> 199/199
2026-05-20 00:41:34,494 | INFO | rag.ingestion.indexing | [BUILD JSON DONE] corpus=data/legal_corpus_chunks.json, chunks=199, index_dir=indexes/legal
2026-05-24 22:07:51,003 | INFO | rag.ingestion.indexing | Embedding batch 100 -> 199/199
2026-05-24 22:08:19,311 | INFO | rag.ingestion.indexing | [BUILD JSON DONE] corpus=data/legal_corpus_chunks.json, chunks=199, index_dir=indexes/legal
2026-05-24 22:12:29,968 | INFO | rag.ingestion.indexing | Embedding batch 100 -> 199/199
2026-05-24 22:12:58,193 | INFO | rag.ingestion.indexing | [BUILD JSON DONE] corpus=runtime_data/legal_corpus_chunks_final.json, chunks=199, index_dir=runtime_indexes/legal_final
2026-05-24 23:08:54,171 | INFO | rag.ingestion.indexing | Embedding batch 100 -> 200/1179
2026-05-24 23:09:21,281 | INFO | rag.ingestion.indexing | Embedding batch 200 -> 300/1179
2026-05-24 23:09:43,492 | INFO | rag.ingestion.indexing | Embedding batch 300 -> 400/1179
2026-05-24 23:10:10,322 | INFO | rag.ingestion.indexing | Embedding batch 400 -> 500/1179
2026-05-24 23:10:32,521 | INFO | rag.ingestion.indexing | Embedding batch 500 -> 600/1179
2026-05-24 23:10:54,699 | INFO | rag.ingestion.indexing | Embedding batch 600 -> 700/1179
2026-05-24 23:11:14,990 | INFO | rag.ingestion.indexing | Embedding batch 700 -> 800/1179
2026-05-24 23:11:34,492 | INFO | rag.ingestion.indexing | Embedding batch 800 -> 900/1179
2026-05-24 23:11:55,641 | INFO | rag.ingestion.indexing | Embedding batch 900 -> 1000/1179
2026-05-24 23:12:15,357 | INFO | rag.ingestion.indexing | Embedding batch 1000 -> 1100/1179
2026-05-24 23:12:36,766 | INFO | rag.ingestion.indexing | Embedding batch 1100 -> 1179/1179
2026-05-24 23:12:50,146 | INFO | rag.ingestion.indexing | [BUILD JSON DONE] corpus=data/DataSetRAG.json, chunks=1179, index_dir=faiss_index
2026-05-24 23:14:03,032 | INFO | rag.ingestion.indexing | Embedding batch 100 -> 199/199
2026-05-24 23:14:24,174 | INFO | rag.ingestion.indexing | [BUILD JSON DONE] corpus=data/legal_corpus_chunks.json, chunks=199, index_dir=faiss_index
2026-05-25 13:37:10,199 | INFO | rag.ingestion.indexing | Embedding batch 100 -> 199/199
2026-05-25 13:37:32,277 | INFO | rag.ingestion.indexing | [BUILD JSON DONE] corpus=data/legal_corpus_chunks.json, chunks=199, index_dir=indexes/legal
2026-05-25 19:23:56,820 | INFO | rag.ingestion.indexing | Embedding batch 100 -> 199/199
2026-05-25 19:24:58,453 | INFO | rag.ingestion.indexing | [BUILD JSON DONE] corpus=runtime_data/legal_corpus_chunks.json, chunks=199, index_dir=indexes/legal
